Entity,Date,confirmedcases,Death,recovered,Deathrate,RecoveryRate
Algeria,05-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Algeria,06-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Algeria,07-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Algeria,08-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Algeria,09-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Algeria,10-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Algeria,11-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Algeria,12-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Algeria,13-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Algeria,14-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Algeria,15-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Algeria,16-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Algeria,17-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Algeria,18-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Algeria,19-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Algeria,20-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Algeria,21-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Algeria,22-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Algeria,23-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Algeria,24-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Algeria,25-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Algeria,26-Feb-20,1,0,0,0,0
Algeria,27-Feb-20,1,0,0,0,0
Algeria,28-Feb-20,1,0,0,0,0
Algeria,29-Feb-20,1,0,0,0,0
Algeria,01-Mar-20,3,0,0,0,0
Algeria,02-Mar-20,3,0,0,0,0
Algeria,04-Mar-20,5,0,0,0,0
Algeria,05-Mar-20,12,0,0,0,0
Algeria,06-Mar-20,17,0,0,0,0
Algeria,09-Mar-20,20,0,0,0,0
Algeria,12-Mar-20,20,0,0,0,0
Algeria,13-Mar-20,25,0,0,0,0
Algeria,14-Mar-20,26,0,0,0,0
Algeria,15-Mar-20,37,0,0,0,0
Algeria,16-Mar-20,48,0,0,0,0
Algeria,17-Mar-20,58,1,8,1.724137931,13.79310345
Algeria,18-Mar-20,60,2,8,3.333333333,13.33333333
Algeria,19-Mar-20,72,3,12,4.166666667,16.66666667
Algeria,20-Mar-20,90,4,12,4.444444444,13.33333333
Algeria,21-Mar-20,102,4,12,3.921568627,11.76470588
Algeria,22-Mar-20,139,4,12,2.877697842,8.633093525
Algeria,23-Mar-20,201,7,12,3.482587065,5.970149254
Algeria,24-Mar-20,230,9,32,3.913043478,13.91304348
Algeria,25-Mar-20,264,11,32,4.166666667,12.12121212
Algeria,26-Mar-20,302,15,32,4.966887417,10.59602649
Algeria,27-Mar-20,367,17,65,4.632152589,17.71117166
Algeria,28-Mar-20,409,17,65,4.156479218,15.89242054
Algeria,29-Mar-20,454,19,24,4.185022026,5.286343612
Algeria,30-Mar-20,511,21,65,4.109589041,12.72015656
Algeria,31-Mar-20,584,25,29,4.280821918,4.965753425
Algeria,01-Apr-20,716,26,29,3.631284916,4.05027933
Algeria,02-Apr-20,847,29,31,3.423848878,3.659976387
Algeria,03-Apr-20,986,31,31,3.144016227,3.144016227
Algeria,04-Apr-20,1171,35,37,2.988898377,3.15969257
Algeria,05-Apr-20,1251,44,46,3.517186251,3.677058353
Algeria,06-Apr-20,1320,58,61,4.393939394,4.621212121
Algeria,07-Apr-20,1423,86,61,6.043569923,4.286718201
Algeria,08-Apr-20,1468,105,62,7.152588556,4.223433243
Algeria,09-Apr-20,1572,130,90,8.269720102,5.72519084
Algeria,10-Apr-20,1666,152,90,9.12364946,5.402160864
Algeria,11-Apr-20,1761,173,90,9.823963657,5.110732538
Algeria,12-Apr-20,1825,193,113,10.57534247,6.191780822
Algeria,13-Apr-20,1914,205,237,10.71055381,12.38244514
Algeria,14-Apr-20,1983,235,347,11.85073122,17.49873928
Algeria,15-Apr-20,2070,256,405,12.36714976,19.56521739
Algeria,16-Apr-20,2160,275,460,12.73148148,21.2962963
Algeria,17-Apr-20,2268,293,591,12.91887125,26.05820106
Andorra,02-Mar-20,0,0,0,#DIV/0!,#DIV/0!
Andorra,03-Mar-20,1,0,0,0,0
Andorra,04-Mar-20,1,0,0,0,0
Andorra,05-Mar-20,1,0,0,0,0
Andorra,06-Mar-20,1,0,0,0,0
Andorra,07-Mar-20,1,0,0,0,0
Andorra,08-Mar-20,1,0,0,0,0
Andorra,09-Mar-20,1,0,0,0,0
Andorra,10-Mar-20,1,0,0,0,0
Andorra,11-Mar-20,1,0,0,0,0
Andorra,12-Mar-20,1,0,1,0,100
Andorra,13-Mar-20,1,0,0,0,0
Andorra,14-Mar-20,1,0,1,0,100
Andorra,15-Mar-20,1,0,1,0,100
Andorra,16-Mar-20,1,1,1,100,100
Andorra,17-Mar-20,2,1,1,50,50
